class,name,description,primary_science_dicipline
ADCPA,Velocity Profiler (short range) for mobile assets,"Velocity Profiler (short range) for mobile assets uses acoustics to measure 3D water-current velocity for a small volume of the water column above or below the sensor. High frequency sound waves (75- to 600-kHz) emitted by the profiler scatter off suspended particles and back to the sensor. The sensor calculates velocity by measuring changes in these sound waves (i.e., Doppler shifts). This instrument is also referred to as an Acoustic Doppler Current Profiler (ADCP).",Physical
ADCPS,Velocity Profiler (long range),"Velocity Profiler (long range) uses acoustics to measure 3D water-current velocity for a small volume of the water column above or below the sensor.  The long range sensor is able to measure the current 500 meters or greater from the sensor. High frequency sound waves (75- to 600-kHz) emitted by the profiler scatter off suspended particles and back to the sensor. The sensor calculates velocity by measuring changes in these sound waves (i.e., Doppler shifts). This instrument is also referred to as an Acoustic Doppler Current Profiler (ADCP).",Physical
ADCPT,Velocity Profiler (short range),"Velocity Profiler (short range) uses acoustics to measure 3D water-current velocity for a small volume of the water column above or below the sensor.  The short range sensor is able to measure the current 300 meters or greater from the sensor. High frequency sound waves (75- to 600-kHz) emitted by the profiler scatter off suspended particles and back to the sensor. The sensor calculates velocity by measuring changes in these sound waves (i.e., Doppler shifts). This instrument is also referred to as an Acoustic Doppler Current Profiler (ADCP).",Physical
BOTPT,Bottom Pressure and Tilt,"Bottom Pressure and Tilt sensors are designed to measure the inflation and deflation of the seafloor using a precision pressure sensor that enables detection of the seafloor's rise and fall (i.e., ""breathing"") as magma (molten rock) moves in and out of underlying magma chambers. A very precise tilt meter (measures in micro-radians) records the ""tilting"" of the seafloor as it deforms in response to melt migration.",Geological
CAMDS,Digital Still Camera with Strobes,"The Digital Still Camera with Strobes is an ethernet camera with strobe lights for capturing high-resolution still imagery of water column biology, vents, diffuse flow, seeps, macrofauna.",Biological
CAMHD,HD Digital Video Camera with Strobes,The HD Digital Video Camera with Strobes captures high definition (HD) video of the seafloor environment that can be used for analytical work. These video cameras feature strobe lights and functions for pan and tilt.,Biological
CPMEN,Platform Controller,,
CTDAV,CTD AUV,"A CTD is so named as it measures Conductivity, Temperature and Depth. These parameters can then be used to calculate salinity and density. The CTD AUV sensors are located on Autonomous Underwater Vehicles (AUVs).",Physical
CTDBP,CTD Pumped,"A CTD is so named as it measures Conductivity, Temperature and Depth. These parameters can then be used to calculate salinity and density. CTD Pumped sensors are equipped with a bottom pump used to control flow through the instrument, as well as reduce biofouling.",Physical
CTDGV,CTD Glider,"A CTD is so named as it measures Conductivity, Temperature and Depth. These parameters can then be used to calculate salinity and density. CTD Glider sensors are located on Gliders.",Physical
CTDMO,CTD Mooring (Inductive),"A CTD is so named as it measures Conductivity, Temperature and Depth. These parameters can then be used to calculate salinity and density. CTD Mooring (Inductive) sensors are used on surface and subsurface moorings and have the capability of inductive communication with the surface buoy along the mooring riser.",Physical
CTDPF,CTD Profiler,"A CTD is so named as it measures Conductivity, Temperature and Depth. These parameters can then be used to calculate salinity and density. CTD Profiler sensors are mounted on a profiler.",Physical
DCLEN,Data Concentrator Logger (DCL),,
DOFST,Dissolved Oxygen Fast Response,A Dissolved Oxygen sensor measures the concentration of microscopic bubbles of gaseous oxygen that are mixed in seawater (i.e. dissolved oxygen concentration).  The Dissolved Oxygen Fast Response sensor measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients.,Chemical
DOSTA,Dissolved Oxygen Stable Response,"A Dissolved Oxygen sensor measures the concentration of microscopic bubbles of gaseous oxygen that are mixed in seawater (i.e. dissolved oxygen concentration).  The Dissolved Oxygen Stable Response sensor measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings.",Chemical
ENG00,Mobile Asset Controller,,
