reference_designator,name,start_depth,end_depth,current_status,preferred_stream,preferred_parameter,location
CE01ISSM-MFC31-00-CPMENG000,Platform Controller,25,25,Engineering,,,
CE01ISSM-MFD35-00-DCLENG000,Data Concentrator Logger (DCL),25,25,Engineering,,,
CE01ISSM-MFD35-01-VEL3DD000,3-D Single Point Velocity Meter,25,25,,vel3d_cd_dcl_velocity_data,1085,Multi-Function Node
CE01ISSM-MFD35-02-PRESFA000,Seafloor Pressure,25,25,,presf_abc_dcl_tide_measurement,3250,Multi-Function Node
CE01ISSM-MFD35-04-ADCPTM000,Velocity Profiler (600kHz),25,25,,adcp_velocity_earth,,Multi-Function Node
CE01ISSM-MFD35-05-PCO2WB000,pCO2 Water,25,25,,pco2w_abc_dcl_instrument,931,Multi-Function Node
CE01ISSM-MFD35-06-PHSEND000,Seawater pH,25,25,,phsen_abcdef_dcl_instrument,2767,Multi-Function Node
CE01ISSM-MFD37-00-DCLENG000,Data Concentrator Logger (DCL),25,25,Engineering,,,
CE01ISSM-MFD37-01-OPTAAD000,Spectrophotometer,25,25,,optaa_dj_dcl_instrument,20,Multi-Function Node
CE01ISSM-MFD37-03-CTDBPC000,CTD,25,25,,ctdbp_cdef_dcl_instrument,6,Multi-Function Node
CE01ISSM-MFD37-03-DOSTAD000,Dissolved Oxygen,25,25,,dosta_abcdjm_ctdbp_dcl_instrument,14,Multi-Function Node
CE01ISSM-MFD37-06-CAMDSA000,Digital Still Camera,25,25,Camera,,,Multi-Function Node
CE01ISSM-MFD37-07-ZPLSCC000,Bio-acoustic Sonar (Coastal),25,25,,zplsc_c_instrument,3745,Multi-Function Node
CE01ISSM-RID16-00-DCLENG000,Data Concentrator Logger (DCL),7,7,Engineering,,,
CE01ISSM-RID16-01-OPTAAD000,Spectrophotometer,7,7,,optaa_dj_dcl_instrument,20,Near Surface Instrument Frame
CE01ISSM-RID16-02-FLORTD000,3-Wavelength Fluorometer,7,7,,flort_dj_dcl_instrument,22,Near Surface Instrument Frame
CE01ISSM-RID16-03-CTDBPC000,CTD,7,7,,ctdbp_cdef_dcl_instrument,6,Near Surface Instrument Frame
CE01ISSM-RID16-03-DOSTAD000,Dissolved Oxygen,7,7,,dosta_abcdjm_ctdbp_dcl_instrument,14,Near Surface Instrument Frame
CE01ISSM-RID16-04-VELPTA000,Single Point Velocity Meter,7,7,,velpt_ab_dcl_instrument,1154,Near Surface Instrument Frame
CE01ISSM-RID16-05-PCO2WB000,pCO2 Water,7,7,,pco2w_abc_dcl_instrument,931,Near Surface Instrument Frame
CE01ISSM-RID16-06-PHSEND000,Seawater pH,7,7,,phsen_abcdef_dcl_instrument,2767,Near Surface Instrument Frame
CE01ISSM-RID16-07-NUTNRB000,Nitrate,7,7,,nutnr_b_dcl_conc_instrument,315,Near Surface Instrument Frame
CE01ISSM-RID16-08-SPKIRB000,Spectral Irradiance,7,7,,spkir_abj_dcl_instrument,2766,Near Surface Instrument Frame
CE01ISSM-SBC11-00-CPMENG000,Platform Controller,0,0,Engineering,,,
CE01ISSM-SBD17-00-DCLENG000,Data Concentrator Logger (DCL),0,0,Engineering,,,
CE01ISSM-SBD17-01-MOPAK0000,3-Axis Motion Pack,0,0,Engineering,,,"Buoy Well, center of Mass"
CE01ISSM-SBD17-04-VELPTA000,Single Point Velocity Meter,1,1,,velpt_ab_dcl_instrument,1154,Bottom of Buoy
CE01ISSM-SBD17-06-CTDBPC000,CTD,1,1,,ctdbp_cdef_dcl_instrument,6,
CE01ISSM-SBD17-06-FLORTD000,3-Wavelength Fluorometer,1,1,,flort_dj_dcl_instrument,22,
CE01ISSP-SP001-00-SPPENG000,Profiler Controller,0,25,Engineering,,,
CE01ISSP-SP001-02-DOSTAJ000,Dissolved Oxygen,0,25,,dosta_abcdjm_cspp_instrument,14,Surface Piercing Profiler
CE01ISSP-SP001-04-OPTAAJ000,Spectrophotometer,0,25,,optaa_dj_cspp_instrument,20,Surface Piercing Profiler
CE01ISSP-SP001-05-VELPTJ000,Single Point Velocity Meter,0,25,,velpt_j_cspp_instrument,1154,Surface Piercing Profiler
CE01ISSP-SP001-06-NUTNRJ000,Nitrate,0,25,,nutnr_j_cspp_instrument,18,Surface Piercing Profiler
CE01ISSP-SP001-07-SPKIRJ000,Spectral Irradiance,0,25,,spkir_abj_cspp_instrument,2766,Surface Piercing Profiler
CE01ISSP-SP001-08-FLORTJ000,3-Wavelength Fluorometer,0,25,,flort_dj_cspp_instrument,22,Surface Piercing Profiler
CE01ISSP-SP001-09-CTDPFJ000,CTD,0,25,,ctdpf_j_cspp_instrument,4,Surface Piercing Profiler
CE01ISSP-SP001-10-PARADJ000,Photosynthetically Available Radiation,0,25,,parad_j_cspp_instrument,3236,Surface Piercing Profiler
