reference_designator,name,min_depth,max_depth
CE01ISSM-MFC31,Seafloor Multi-Function Node (MFN),25,25
CE01ISSM-MFD35,Seafloor Multi-Function Node (MFN),25,25
CE01ISSM-MFD37,Seafloor Multi-Function Node (MFN),25,25
CE01ISSM-RID16,Near Surface Instrument Frame,7,7
CE01ISSM-SBC11,Surface Buoy,0,0
CE01ISSM-SBD17,Surface Buoy,0,0
CE01ISSP-SP001,Surface Piercing Profiler,0,25
CE02SHBP-LJ01D,Low-Power JBox (LJ01D),80,80
CE02SHBP-MJ01C,Medium-Power JBox (MJ01C),80,80
CE02SHBP-PN01D,Primary Node (PN01D),,
CE02SHSM-RIC21,Near Surface Instrument Frame,7,7
CE02SHSM-RID26,Near Surface Instrument Frame,7,7
CE02SHSM-RID27,Near Surface Instrument Frame,7,7
CE02SHSM-SBC11,Surface Buoy,0,0
CE02SHSM-SBD11,Surface Buoy,0,0
CE02SHSM-SBD12,Surface Buoy,0,0
CE02SHSP-SP001,Surface Piercing Profiler,0,80
CE02SHSP-SP002,Surface Piercing Profiler,0,80
CE04OSBP-LJ01C,Low-Power JBox (LJ01C),580,580
CE04OSBP-LV01C,Low-Voltage Node (LV01C),580,580
CE04OSBP-PN01C,Primary Node (PN01C),,
CE04OSPD-DP01B,Wire-Following Profiler (DP01B),175,500
CE04OSPD-PD01B,Profiler Docking Station (PD01B),175,500
CE04OSPS-PC01B,200m Platform (PC01B),200,200
CE04OSPS-SC01B,Winch Controller (SC01B),,
CE04OSPS-SF01B,Shallow Profiler (SF01B),20,200
CE04OSSM-RIC21,Near Surface Instrument Frame,7,7
CE04OSSM-RID26,Near Surface Instrument Frame,7,7
CE04OSSM-RID27,Near Surface Instrument Frame,7,7
CE04OSSM-SBC11,Surface Buoy,0,0
CE04OSSM-SBD11,Surface Buoy,0,0
CE04OSSM-SBD12,Surface Buoy,0,0
CE05MOAS-GL247,Coastal Glider 247,0,200
CE05MOAS-GL311,Coastal Glider 311,0,200
CE05MOAS-GL312,Coastal Glider 312,0,1000
CE05MOAS-GL319,Coastal Glider 319,0,200
CE05MOAS-GL320,Coastal Glider 320,0,1000
CE05MOAS-GL326,Coastal Glider 326,0,200
CE05MOAS-GL327,Coastal Glider 327,0,200
CE05MOAS-GL381,Coastal Glider 381,0,200
CE05MOAS-GL382,Coastal Glider 382,0,200
CE05MOAS-GL383,Coastal Glider 383,0,200
CE05MOAS-GL384,Coastal Glider 384,0,1000
CE05MOAS-GL386,Coastal Glider 386,0,1000
CE06ISSM-MFC31,Seafloor Multi-Function Node (MFN),29,29
CE06ISSM-MFD35,Seafloor Multi-Function Node (MFN),29,29
CE06ISSM-MFD37,Seafloor Multi-Function Node (MFN),29,29
CE06ISSM-RID16,Near Surface Instrument Frame,7,7
CE06ISSM-SBC11,Surface Buoy,0,0
CE06ISSM-SBD17,Surface Buoy,0,0
CE06ISSP-SP001,Surface Piercing Profiler,0,29
CE07SHSM-MFC31,Seafloor Multi-Function Node (MFN),87,87
CE07SHSM-MFD35,Seafloor Multi-Function Node (MFN),87,87
CE07SHSM-MFD37,Seafloor Multi-Function Node (MFN),87,87
CE07SHSM-RIC21,Near Surface Instrument Frame,7,7
CE07SHSM-RID26,Near Surface Instrument Frame,7,7
CE07SHSM-RID27,Near Surface Instrument Frame,7,7
CE07SHSM-SBC11,Surface Buoy,0,0
CE07SHSM-SBD11,Surface Buoy,,
CE07SHSM-SBD12,Surface Buoy,0,0
CE07SHSP-SP001,Surface Piercing Profiler,0,87
CE09OSPM-SBS01,Surface Buoy,0,0
CE09OSPM-WFP01,Wire-Following Profiler,15,540
CE09OSSM-MFC31,Seafloor Multi-Function Node (MFN),540,540
CE09OSSM-MFD35,Seafloor Multi-Function Node (MFN),540,540
CE09OSSM-MFD37,Seafloor Multi-Function Node (MFN),540,540
CE09OSSM-RIC21,Near Surface Instrument Frame,7,7
CE09OSSM-RID26,Near Surface Instrument Frame,7,7
