name,method,stream_type,display_name,description,status
adcp_ancillary_system_data,Streamed,Engineering,Ancillary System Data,Engineering Ancillary System Data,active
adcp_ancillary_system_data_5,Streamed,Engineering,Ancillary System Data - 5 Beam,Engineering Ancillary System Data - 5 Beam,active
adcp_bottom_track_config,,Engineering,Bottom Track Configuration Data,Engineering Bottom Track Configuration Data,active
adcp_bottom_track_earth,,Science,Bottom Track Data in Earth Coordinates,Science Bottom Track Data in Earth Coordinates,active
adcp_bottom_track_inst,,Science,Bottom Track Data Products,Science Bottom Track Data Products,active
adcp_compass_calibration,Streamed,Calibration,Compass Data,Calibration Compass Data,active
adcp_compass_calibration_5,Streamed,Calibration,Compass Data - 5 Beam,Calibration Compass Data - 5 Beam,active
adcp_config,,Engineering,Configuration Data,Engineering Configuration Data,active
adcp_config_5,,Engineering,Configuration Data - 5 Beam,Engineering Configuration Data - 5 Beam,active
adcp_engineering,,Engineering,Data,Engineering Data,active
adcp_engineering_5,,Engineering,Data - 5 Beam,Engineering Data - 5 Beam,active
adcp_pd0_beam_parsed,Streamed,Science,Data Products,Science Data Products,VOID
adcp_pd0_earth_parsed,Streamed,Science,Data Products,Science Data Products,VOID
adcp_pd12_parsed,,,, ,VOID
adcp_system_configuration,Streamed,Engineering,System Configuration Data,Engineering System Configuration Data,active
adcp_system_configuration_5,Streamed,Engineering,System Configuration Data - 5 Beam,Engineering System Configuration Data - 5 Beam,active
adcp_transmit_path,Streamed,Engineering,Transmit Path Data,Engineering Transmit Path Data,active
adcp_transmit_path_5,,Engineering,Transmit Path Data - 5 Beam,Engineering Transmit Path Data - 5 Beam,active
adcp_velocity_beam,,Science,Beam Coordinate Data,Science Beam Coordinate Data,active
adcp_velocity_earth,,Science,Earth Coordinates Data,Science Earth Coordinates Data,active
adcp_velocity_glider,,Science,Glider Velocity Data,Science Glider Velocity Data,active
adcp_velocity_inst,,Science,Instrument Data Products,Science Instrument Data Products,active
adcp_waves_parsed,,,, ,VOID
adcpa_m_glider_instrument,Telemetered,Science,Data Products,Science Data Products,VOID
adcpa_m_glider_recovered,Recovered,Science,Data Products,Science Data Products,VOID
adcpa_n_auv_instrument,,Science,AUV ADCP Data Products,Science AUV ADCP Data Products,active
